Keyword,Frequency
工业,3956
文化,2506
空间,2045
城市,2036
建筑,1552
历史,1444
博物馆,770
区域,752
景观,637
产业,560
技术,549
结构,542
遗存,542
遗址,526
铁路,519
经济,513
艺术,469
物质,467
记忆,427
理论,387
地区,383
精神,380
电影,379
游客,376
厂区,373
场景,369
园区,365
要素,350
厂房,344
设施,326
用地,321
文化遗产,275
产品,256
历史文化,238
人文,212
文物,201
居民,188
资料,183
交通,178
平台,176
土地,173
车间,172
符号,162
工人,155
指标,150
进程,142
市场,136
高炉,133
情感,126
形象,126
构筑物,124
品牌,119
业态,111
仓库,109
工艺,107
群体,104
工业生产,103
名录,102
机器,94
故事,94
话语,93
制度,87
铁路沿线,85
住宅,85
基础设施,84
钢铁,82
密度,81
街坊,78
视觉,78
风格,78
城市文化,77
身份,77
世界遗产,76
肌理,76
职工,75
标志,72
文献,71
图片,70
文化资源,70
